id,uuid,description,address,data,price,Construction year,Building condition,Asbestos certificate is available,Living area,Bedrooms,Bathrooms,Toilets,Primary energy consumption,Energy class,CO₂ emission,Yearly theoretical total energy consumption,Inspection report of the electrical installation,Planning permission obtained,Subdivision permit,Possible priority purchase right,Flood zone type Non flood,G-score,Tenement building,Website,Surface of the plot,Connection to sewer network,Proceedings for breach of planning regulations,Latest land use designation,Double glazing
20724067.0,bff0933c-8706-450e-be72-df1c836eb396,"uitzonderlijk vastgoed gelegen op de vrijdagsmarkt, via de centrale inkomhal (die werd ingericht door glenn sestig) treffen we de prachtige binnentuin van wirtz. werkelijk uniek in gent! via de lift begeven we ons richting dit luxe duplex appartement met 2 terrassen en unieke zichten.. eens we het appartement binnen zijn staan we in de inkomhal met een praktische vestiaire en een gastentoilet. vervolgens vindt u de lichtrijke eetruimte met uitzicht op een zorgvuldig onderhouden binnentuin. de moderne, volledig uitgeruste keuken is voorzien van veel lichtinval en grenst aan een praktische berg- en wasruimte. aansluitend vindt u de gezellige living met uitkijk op de lange munt. hiernaast bevindt zich de master bedroom, die toegang biedt tot een dressing met ingemaakte kasten en een elegante badkamer, voorzien van een dubbele wastafel en ruime inloopdouche. op de tweede verdieping treft u een tweede toilet aan, evenals de tweede slaapkamer die beschikt over een privéterras met een uniek zicht op de drie torens van gent. daarnaast is er een extra ruimte die perfect kan worden ingericht als bureau en een prachtig uitzicht biedt op het iconische gravensteen. het appartement is uitgerust met een geavanceerd domoticasysteem voor de verlichting, waardoor modern wooncomfort wordt gegarandeerd. daarnaast is er de mogelijkheid om een garage aan te kopen voor €55.000. 2de en 3de garage is optioneel. dit exclusieve appartement combineert een onvergelijkbar...renovation obligation: no",vrijdagmarkt 61            box 305             9000        —    gent,"[['Construction year', '2015'], ['Floor', '3'], ['Number of floors', '3'], ['Building condition', 'As new'], ['Covered parking spaces 3'], ['Asbestos certificate is available', 'No'], ['Living area', '171', 'm²', 'square meters'], ['Living room Yes'], ['Dining room Yes'], ['Bedrooms 2'], ['Dressing room', 'Yes'], ['Bathrooms 1'], ['Toilets 2'], ['Laundry room', 'Yes'], ['Furnished', 'No'], ['Terrace surface', '24', 'm²', 'square meters'], ['Primary energy consumption', '102', 'kWh/m²', 'kilowatt hour per square meters'], ['Energy class', 'B'], [], ['Reference number of the EPC report', 'Not specified'], ['CO₂ emission', 'Not specified'], ['Yearly theoretical total energy consumption', 'Not specified'], ['Inspection report of the electrical installation', 'Yes'], ['As built plan', 'No'], ['E-level (overall energy performance)', '60'], ['Heat pump No'], ['Photovoltaic solar panels No'], ['Thermic solar panels No'], ['Planning permission obtained Yes'], ['Obligation to build No'], ['Subdivision permit No'], ['Possible priority purchase right Yes'], ['Flood zone type Non flood zone'], ['P-score', 'A'], ['G-score', 'A'], ['Tenement building No'], ['Sponsored   Did you fall in Love with a new home? Simulate your mortgage credit for this property and discover your rate.', 'Start your simulation'], ['Address', 'Wautersdreef 17', '9090', '- Melle'], ['Website', 'http://www.immo-t.be'], ['External reference', 'TKGENVRIJDAGMARKT61BUS305CCCCC']]",765000,2015,As new,No,171 m² square meters,2,1,2,102 kWh/m² kilowatt hour per square meters,B,Not specified,Not specified,Yes,Yes,No,Yes,zone,A,No,http://www.immo-t.be,,,,,
20511774.0,48103edf-d945-4052-a349-31a1bdee8300,"op de grens van roeselare en hooglede, in de gitsestraat, bouwen we deze 2 halfopen nieuwbouwwoningen in een rustige en kindvriendelijke buurt. ze charmeren met hun unieke nieuwbouwstijl, waarbij een goede bereikbaarheid en een groene omgeving perfect samenkomen. je kunt gemakkelijk de autosnelweg nemen of het openbaar vervoer gebruiken. bovendien geniet je van de nabijheid van ziekenhuizen, scholen, winkels en diverse recreatiemogelijkheden, waardoor het een ideale woonplek is voor zowel jong als oud. voordelen van deze woningen zijn zeker: energiezuinige woning;beschikken over vloerverwarming op het gelijkvloers in combinatie met het warmtenet;3 ruime slaapkamers;badkamer uitgerust met een inloopdouche, bad en dubbel lavabomeubel; wil je meer informatie? neem dan nu nog contact op met ons!",gitsestraat 545             8800        —    roeselare,"[['Primary energy consumption', 'Not specified'], ['Energy class', 'Not specified'], ['Reference number of the EPC report', 'Not specified'], ['CO₂ emission', 'Not specified'], ['Yearly theoretical total energy consumption', 'Not specified'], ['Inspection report of the electrical installation', 'Not specified'], ['Address', 'Armoedestraat 40 bus 51', '8800', '- Roeselare'], ['Website', 'http://www.hectaar.be'], ['External reference', '8800_ROESELARE_GITSESTRAAT_LOT50-51']]",321477,,,,,,,,Not specified,Not specified,Not specified,Not specified,Not specified,,,,,,,http://www.hectaar.be,,,,,
20724520.0,9c358ca3-4960-4808-91d6-0cf3b053455c,-,bruggestraat 143             8730        —    beernem,"[['Neighbourhood or locality', 'Beernem (Oedelem)'], ['Construction year', '1974'], ['Building condition', 'Good'], ['Number of frontages', '4'], ['Surroundings type Countryside'], ['Asbestos certificate is available', 'Yes'], ['Kitchen type', 'Hyper equipped'], ['Bedrooms 5'], ['Bathrooms 1'], ['Toilets 2'], ['Basement Yes'], ['Furnished', 'No'], ['Surface of the plot', '5665', 'm²', 'square meters'], ['Connection to sewer network', 'Connected'], ['Gas, water & electricity', 'Yes'], ['Terrace Yes'], ['Terrace orientation', 'South'], ['Primary energy consumption', '231', 'kWh/m²', 'kilowatt hour per square meters'], ['Energy class', 'C'], [], ['Reference number of the EPC report', '0003033137'], ['CO₂ emission', 'Not specified'], ['Yearly theoretical total energy consumption', 'Not specified'], ['Inspection report of the electrical installation', 'Yes'], ['Thermic solar panels Yes'], ['Planning permission obtained Yes'], ['Proceedings for breach of planning regulations No'], ['Flood zone type Non flood zone'], ['P-score', 'C'], ['G-score', 'A'], ['Latest land use designation', 'Living area (residential, urban or rural)'], ['Cadastral income', '€ 1,499', '1499 €'], ['Tenement building Yes'], ['Sponsored   Did you fall in Love with a new home? Simulate your mortgage credit for this property and discover your rate.', 'Start your simulation'], ['Address', 'Moerkerkse Steenweg 1', '8000', '- Brugge'], ['Website', 'http://www.immax.be'], ['External reference', '6789587']]",980000,1974,Good,Yes,,5,1,2,231 kWh/m² kilowatt hour per square meters,C,Not specified,Not specified,Yes,Yes,,,zone,A,Yes,http://www.immax.be,5665 m² square meters,Connected,No,"Living area (residential, urban or rural)",
20720131.0,71709641-06d1-4b17-a633-eef3ce865c5a,no description,8670        —    koksijde         ask for the exact address,"[['Construction year', '2022'], ['Number of floors', '3'], ['Building condition', 'As new'], ['Street frontage width', '10 m'], ['Number of frontages', '2'], ['Covered parking spaces 1'], ['Asbestos certificate is available', 'Not specified'], ['Living area', '85', 'm²', 'square meters'], ['Living room surface', '25', 'm²', 'square meters'], ['Kitchen surface', '16', 'm²', 'square meters'], ['Bedrooms 2'], ['Bedroom 1 surface', '16', 'm²', 'square meters'], ['Bedroom 2 surface', '8', 'm²', 'square meters'], ['Dressing room', 'No'], ['Bathrooms 1'], ['Toilets 1'], ['Basement surface', '4', 'm²', 'square meters'], ['Armored door No'], ['Terrace surface', '11', 'm²', 'square meters'], ['Primary energy consumption', 'Not specified'], ['Energy class', 'A'], [], ['Reference number of the EPC report', 'Not specified'], ['CO₂ emission', 'Not specified'], ['Yearly theoretical total energy consumption', 'Not specified'], ['Inspection report of the electrical installation', 'Not specified'], ['Photovoltaic solar panels Yes'], ['Thermic solar panels No'], ['Common water heater No'], ['Double glazing', 'Yes'], ['Planning permission obtained Yes'], ['Type of building', 'All kind'], ['Obligation to build No'], ['Subdivision permit No'], ['Possible priority purchase right Yes'], ['Proceedings for breach of planning regulations No'], ['Flood zone type Non flood zone'], ['P-score', 'B'], ['Tenement building No'], ['Sponsored   Did you fall in Love with a new home? Simulate your mortgage credit for this property and discover your rate.', 'Start your simulation'], ['Address', 'Langestraat 62', '8620', '- Nieuwpoort'], ['External reference', 'NI26126']]",445000,2022,As new,Not specified,85 m² square meters,2,1,1,Not specified,A,Not specified,Not specified,Not specified,Yes,No,Yes,zone,,No,,,,No,,Yes
20665203.0,2f1f319c-c755-4fdb-b4de-f9197de6047d,"this property offers great potential for both starters and students. it was recently thoroughly renovated. furthermore, it is close to the technology campuses, the bourgoyen and is only 10 minutes by bike from the city centre. the property is ideal for people looking for a well-connected location, whether via public transport, private car or bicycle.layout: living space consisting of lounge area, fitted bathroom and open kitchen with dining area.1st floor: 2 bedrooms, one with dressing room.2nd floor: 1 large bedroom.the house was renovated in 2022: new pipes were laid, the flat and pitched roofs were additionally insulated and renewed, and a new kitchen and bathroom were installed. the epc has label b.",hamerstraat 75             9000        —    gent,"[['Available as of', 'Immediately'], ['Construction year', '1899'], ['Number of floors', '2'], ['Building condition', 'Good'], ['Number of frontages', '2'], ['Surroundings type Urban'], ['Asbestos certificate is available', 'Not specified'], ['Living area', '118', 'm²', 'square meters'], ['Kitchen type', 'Hyper equipped'], ['Bedrooms 3'], ['Bedroom 1 surface', '15', 'm²', 'square meters'], ['Bedroom 2 surface', '10', 'm²', 'square meters'], ['Bedroom 3 surface', '20', 'm²', 'square meters'], ['Bathrooms 1'], ['Shower rooms 1'], ['Toilets 1'], ['Surface of the plot', '44', 'm²', 'square meters'], ['Connection to sewer network', 'Connected'], ['Gas, water & electricity', 'Yes'], ['Primary energy consumption', '167', 'kWh/m²', 'kilowatt hour per square meters'], ['Energy class', 'B'], [], ['Reference number of the EPC report', '20241027-0003427403-RES-1'], ['CO₂ emission', '3422 kg CO₂/m²'], ['Yearly theoretical total energy consumption', '167 kWh/year'], ['Inspection report of the electrical installation', 'Yes'], ['Heating type', 'Gas'], ['Double glazing', 'Yes'], ['Flood zone type Non flood zone'], ['P-score', 'A'], ['G-score', 'A'], ['Tenement building No'], ['Sponsored   Did you fall in Love with a new home? Simulate your mortgage credit for this property and discover your rate.', 'Start your simulation'], ['Address', 'Schouwburgstraat 24', '9000', '- Gent'], ['Website', 'http://www.trevi.be'], ['External reference', '6734259']]",330000,1899,Good,Not specified,118 m² square meters,3,1,1,167 kWh/m² kilowatt hour per square meters,B,3422 kg CO₂/m²,167 kWh/year,Yes,,,,zone,A,No,http://www.trevi.be,44 m² square meters,Connected,,,Yes
20722942.0,ae248bd9-f94b-40d8-9466-d73d2ae31c56,"are you looking for a modern and comfortable flat in the heart of veurne?discover this bright flat, located on the 6th floor and equipped with every luxury:3 spacious bedrooms2 fully equipped bathroomstotal surface area of 126m²private terrace with breathtaking viewsthis flat combines a stylish living experience with the unique benefits of living in sugar park.enjoy the tranquillity and greenery of the city park, while being within walking distance of the vibrant city centre. this flat not only offers an excellent living experience, but is also a smart investment thanks to veurne's strong growth and central location.living, relaxing and investing - everything is possible in suikerpark. plan your visit today!more information?sales@ion.be or call 0477 80 61 11 translated with deepl.com (free version) renovation obligation: unknown",zuidburgweg 107             8630        —    veurne,"[['Available as of', 'Immediately'], ['Construction year', '2023'], ['Floor', '6'], ['Number of floors', '8'], ['Building condition', 'Good'], ['Covered parking spaces 1'], ['Asbestos certificate is available', 'No'], ['Living room Yes'], ['Dining room Yes'], ['Bedrooms 3'], ['Bathrooms 2'], ['Toilets 2'], ['Furnished', 'No'], ['Terrace surface', '22', 'm²', 'square meters'], ['Primary energy consumption', 'Not specified'], ['Energy class', 'Not specified'], ['Reference number of the EPC report', 'Not specified'], ['CO₂ emission', 'Not specified'], ['Yearly theoretical total energy consumption', 'Not specified'], ['Inspection report of the electrical installation', 'Not specified'], ['Heat pump No'], ['Photovoltaic solar panels No'], ['Thermic solar panels No'], ['Tenement building No'], ['Sponsored   Did you fall in Love with a new home? Simulate your mortgage credit for this property and discover your rate.', 'Start your simulation'], ['Address', 'Vredestraat 53', '8790', '- Waregem'], ['Website', 'http://www.ion.be'], ['External reference', 'VNSKP_B6.03 -  Bezoekmoment_24_MEi']]",534608,2023,Good,No,,3,2,2,Not specified,Not specified,Not specified,Not specified,Not specified,,,,,,No,http://www.ion.be,,,,,
20724848.0,5996b9a4-f4f5-432c-baea-f8ac497bfa53,"in het centrum van waarschoot, op het eerste verdiep van residentie miami met lift, bevindt zich een ruim lichtrijk appartement met veel potentieel.  de indeling van dit pand is als volgt: inkomhal, een lichtrijke woonkamer, een geïnstalleerde keuken en een praktische berging. verder zijn er twee slaapkamers, een badkamer met bad en badkamermeubel, een apart toilet en een aangenaam terras dat toegankelijk is vanuit de keuken en de woonkamer dat een mooi uitzicht biedt. een ondergrondse garage zorgt voor extra comfort en veiligheid. de garage dient verplicht mee aangekocht te worden t.b.v. 17.000,00 euro. dankzij de centrale ligging bevinden winkels, scholen en openbaar vervoer zich op wandelafstand en zijn ook belangrijke invalswegen vlot bereikbaar. het gebouw is uitgerust met een lift en het appartement biedt een ruime indeling die je volledig kan inrichten naar eigen smaak.  bezoekmoment vindt plaats op dinsdag 20 mei'25 van 16u00 tot 18u00, mits het maken van een afspraak via 09 395 05 40 of verkoop@concept-home.be  renovation obligation: no",stationsstraat 125            box 1             9950        —    lievegem,"[['Construction year', '1968'], ['Floor', '1'], ['Building condition', 'Good'], ['Covered parking spaces 1'], ['Asbestos certificate is available', 'No'], ['Living area', '87', 'm²', 'square meters'], ['Living room Yes'], ['Kitchen type', 'Installed'], ['Bedrooms 2'], ['Bathrooms 1'], ['Toilets 1'], ['Furnished', 'No'], ['Primary energy consumption', '155', 'kWh/m²', 'kilowatt hour per square meters'], ['Energy class', 'B'], [], ['Reference number of the EPC report', '20200610-0002279818-RES-1'], ['CO₂ emission', 'Not specified'], ['Yearly theoretical total energy consumption', 'Not specified'], ['Inspection report of the electrical installation', 'Not specified'], ['Heat pump No'], ['Photovoltaic solar panels No'], ['Thermic solar panels No'], ['Planning permission obtained Yes'], ['Obligation to build No'], ['Subdivision permit No'], ['Possible priority purchase right No'], ['Proceedings for breach of planning regulations No'], ['Flood zone type Non flood zone'], ['P-score', 'D'], ['G-score', 'D'], ['Cadastral income', '€ 671', '671 €'], ['Tenement building No'], ['Sponsored   Did you fall in Love with a new home? Simulate your mortgage credit for this property and discover your rate.', 'Start your simulation'], ['Address', 'Dorp 6', '9920', '- Lovendegem'], ['External reference', 'CH 14864']]",179000,1968,Good,No,87 m² square meters,2,1,1,155 kWh/m² kilowatt hour per square meters,B,Not specified,Not specified,Not specified,Yes,No,No,zone,D,No,,,,No,,
20726405.0,9dad22f3-ef89-484f-87b2-0e6eb2ebd63b,"nieuw te bouwen open bebouwing te evergem. voorbeeldwoning: indeling volledig naar keuze. onze woningen worden gebouwd met kwalitatieve en duurzame materialen. we voorzien een ruim budget voor de afwerking, zodat u kunt rekenen op een kwalitatieve en duurzame woning. als bouwheer heeft u de vrijheid om de bouwstijl, indeling, materialen en afwerking helemaal naar wens te bepalen. dit zorgt ervoor dat we steeds een correcte prijsberekening kunnen maken, volledig afgestemd op uw vooropgestelde budget. de prijs van de bouwgrond, inclusief de voorbeeldwoning, omvat: btw, registratierechten, bouwcoördinatie, architectenereloon, epb-verslag, veiligheidcoördinatie, blowerdoortest en keuring van de riolering. extra specificaties: ventilatiesysteem d met warmterecuperatiezonnepanelen inbegrepen volgens de epb-voorstudielucht-waterwarmtepomp type daikin althermaplannen vrij te kiezen in overleg met onze huisarchitect meer informatie en het lastenboek zijn beschikbaar op ons kantoor en kunnen op afspraak worden bekomen. neem gerust contact met ons op.bouwen met meerwaarde? dat doe je met nb-projects!bel 053/89.35.95 of stuur een e-mail naar info@nb-projects.be  renovation obligation: unknown",9940        —    evergem         ask for the exact address,"[['Building condition', 'Good'], ['Street frontage width', '9 m'], ['Covered parking spaces 1'], ['Asbestos certificate is available', 'No'], ['Living area', '174', 'm²', 'square meters'], ['Living room Yes'], ['Dining room Yes'], ['Bedrooms 3'], ['Bathrooms 1'], ['Toilets 2'], ['Laundry room', 'Yes'], ['Attic Yes'], ['Surface of the plot', '1419', 'm²', 'square meters'], ['Connection to sewer network', 'Connected'], ['Primary energy consumption', 'Not specified'], ['Energy class', 'Not specified'], ['Reference number of the EPC report', 'Not specified'], ['CO₂ emission', 'Not specified'], ['Yearly theoretical total energy consumption', 'Not specified'], ['Inspection report of the electrical installation', 'Not specified'], ['Heat pump Yes'], ['Photovoltaic solar panels Yes'], ['Thermic solar panels No'], ['Obligation to build No'], ['Latest land use designation', 'Another type of area'], ['Tenement building No'], ['Sponsored   Did you fall in Love with a new home? Simulate your mortgage credit for this property and discover your rate.', 'Start your simulation'], ['Address', 'LEOPOLDSTRAAT 162', '9400', '- Ninove'], ['Website', 'http://www.nb-projects.be'], ['External reference', 'NB-BDM25040105']]",690099,,Good,No,174 m² square meters,3,1,2,Not specified,Not specified,Not specified,Not specified,Not specified,,,,,,No,http://www.nb-projects.be,1419 m² square meters,Connected,,Another type of area,
20376858.0,cfa415dd-888d-435e-914e-92c28b246a9c,"nieuw te bouwen open bebouwing te erpe-mere. voorbeeldwoning: indeling volledig naar keuze. onze woningen worden gebouwd met kwalitatieve en duurzame materialen. we voorzien een ruim budget voor de afwerking, zodat u kunt rekenen op een kwalitatieve en duurzame woning. als bouwheer heeft u de vrijheid om de bouwstijl, indeling, materialen en afwerking helemaal naar wens te bepalen. dit zorgt ervoor dat we steeds een correcte prijsberekening kunnen maken, volledig afgestemd op uw vooropgestelde budget. de prijs van de bouwgrond, inclusief de voorbeeldwoning, omvat: btw, registratierechten, bouwcoördinatie, architectenereloon, epb-verslag, veiligheidcoördinatie, blowerdoortest en keuring van de riolering. extra specificaties: ventilatiesysteem d met warmterecuperatiezonnepanelen inbegrepen volgens de epb-voorstudielucht-waterwarmtepomp type daikin althermaplannen vrij te kiezen in overleg met onze huisarchitect meer informatie en het lastenboek zijn beschikbaar op ons kantoor en kunnen op afspraak worden bekomen. neem gerust contact met ons op. bouwen met meerwaarde? dat doe je met nb-projects! bel 053/89.35.95 of stuur een e-mail naar info@nb-projects.be  renovation obligation: unknown",9420        —    erpe-mere         ask for the exact address,"[['Building condition', 'Good'], ['Street frontage width', '9 m'], ['Covered parking spaces 1'], ['Asbestos certificate is available', 'No'], ['Living area', '213', 'm²', 'square meters'], ['Living room Yes'], ['Dining room Yes'], ['Kitchen type', 'Hyper equipped'], ['Bedrooms 3'], ['Dressing room', 'Yes'], ['Bathrooms 2'], ['Toilets 2'], ['Laundry room', 'Yes'], ['Attic Yes'], ['Surface of the plot', '446', 'm²', 'square meters'], ['Connection to sewer network', 'Connected'], ['Primary energy consumption', 'Not specified'], ['Energy class', 'Not specified'], ['Reference number of the EPC report', 'Not specified'], ['CO₂ emission', 'Not specified'], ['Yearly theoretical total energy consumption', 'Not specified'], ['Inspection report of the electrical installation', 'Yes'], ['Heat pump Yes'], ['Photovoltaic solar panels Yes'], ['Thermic solar panels No'], ['Double glazing', 'Yes'], ['Obligation to build No'], ['Latest land use designation', 'Another type of area'], ['Tenement building No'], ['Sponsored   Did you fall in Love with a new home? Simulate your mortgage credit for this property and discover your rate.', 'Start your simulation'], ['Address', 'LEOPOLDSTRAAT 162', '9400', '- Ninove'], ['Website', 'http://www.nb-projects.be'], ['External reference', 'NB-TC24120213']]",668514,,Good,No,213 m² square meters,3,2,2,Not specified,Not specified,Not specified,Not specified,Yes,,,,,,No,http://www.nb-projects.be,446 m² square meters,Connected,,Another type of area,Yes
20720110.0,914bfbd3-46a2-4b84-93ec-18b08330e9b8,"a stone's throw from the market of gavere with local traders within walking distance, we present this house to be renovated.this house can be entered via an entrance hall that provides access to the living room with dining area. there is also a kitchen with veranda. on the ground floor there is also a bathroom with shower and sink.on the first floor there are two bedrooms and a spacious attic can be reached via a trapdoor. the roof of this house was renovated about 8 years ago and has already been insulated.are you the handyman we are looking for for this renovation project? do not hesitate to contact us and register for the visit! assets*near the center of gavere*nice city garden*renovation project with possibilities",vossestraat 46             9890        —    gavere,"[['Available as of', 'Immediately'], ['Number of floors', '1'], ['Building condition', 'To renovate'], ['Number of frontages', '2'], ['Outdoor parking spaces 1'], ['Asbestos certificate is available', 'Not specified'], ['Living area', '114', 'm²', 'square meters'], ['Living room surface', '27', 'm²', 'square meters'], ['Kitchen surface', '18', 'm²', 'square meters'], ['Bedrooms 2'], ['Bedroom 1 surface', '18', 'm²', 'square meters'], ['Bedroom 2 surface', '16', 'm²', 'square meters'], ['Bathrooms 1'], ['Toilets 1'], ['Basement Yes'], ['Attic Yes'], ['Surface of the plot', '356', 'm²', 'square meters'], ['Terrace Yes'], ['Terrace orientation', 'North East'], ['Primary energy consumption', '484', 'kWh/m²', 'kilowatt hour per square meters'], ['Energy class', 'E'], 'No text', ['This building is subject to a renovation obligation', 'Yes'], ['Reference number of the EPC report', '20250503-0003591750-RES-1'], ['CO₂ emission', 'Not specified'], ['Yearly theoretical total energy consumption', 'Not specified'], ['Inspection report of the electrical installation', 'Not specified'], ['As built plan', 'No'], ['Conformity certification for fuel tanks', 'No'], ['Heating type', 'Fuel oil'], ['Double glazing', 'Yes'], ['Subdivision permit No'], ['Possible priority purchase right No'], ['Proceedings for breach of planning regulations No'], ['Flood zone type Non flood zone'], ['P-score', 'D'], ['G-score', 'A'], ['Latest land use designation', 'Extended residential area'], ['Cadastral income', '€ 275', '275 €'], ['Tenement building No'], ['Sponsored   Did you fall in Love with a new home? Simulate your mortgage credit for this property and discover your rate.', 'Start your simulation'], ['Address', 'Steenweg op Aalst 96', '9620', '- Zottegem'], ['Website', 'http://www.immofrancois.be']]",165000,,To renovate,Not specified,114 m² square meters,2,1,1,484 kWh/m² kilowatt hour per square meters,E,Not specified,Not specified,Not specified,,No,No,zone,A,No,http://www.immofrancois.be,356 m² square meters,,No,Extended residential area,Yes
